ProducedRate,n_prod,n_gen,process_type,pol,process_id,NbEvents,int.lumi(1/fb),Done %,ElogID(s),ProdIDs of DST and REC files,xsect_pb,xsect_error_pb,int_lumi_fb,energy_GeV,source_url
100.00%,33598600,33600000,e1e1h_bb,eR.pR,402128,100000,275581,100.0,387,"DST=15212,15213;REC=15212",0.362868526,0.000275868,275581.906,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3474
100.00%,33598600,33600000,e1e1h_cc,eL.pL,402120,100000,5549780,100.0,387,"DST=15212,15213;REC=15212",0.0180187292,1.36986e-05,5549780.95,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3475
100.00%,33598600,33600000,e1e1h_cc,eL.pR,402102,100000,195807,100.0,387,"DST=15212,15213;REC=15212",0.51070609,0.00065892,195807.338,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3476
100.00%,33598600,33600000,e1e1h_cc,eR.pL,402111,100000,310642,100.0,387,"DST=15212,15213;REC=15212",0.321913516,0.00041327,310642.44,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3477
100.00%,33598600,33600000,e1e1h_cc,eR.pR,402129,100000,5549780,100.0,387,"DST=15212,15213;REC=15212",0.0180187292,1.36986e-05,5549780.95,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3478
100.00%,33598600,33600000,e1e1h_dd,eL.pL,402709,100000,3084397483,100.0,617,"DST=15816,15817;REC=15816",3.24212429e-05,2.4648e-08,3084397480.0,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3683
100.00%,33598600,33600000,e1e1h_dd,eL.pR,402703,99800,108606046,99.8,617,"DST=15816,15817;REC=15816",0.000918917532,1.1856e-06,108823694.0,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3687
100.00%,33598600,33600000,e1e1h_dd,eR.pL,402706,99800,172300218,99.8,617,"DST=15816,15817;REC=15816",0.000579221552,7.436e-07,172645510.0,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3697
100.00%,33598600,33600000,e1e1h_dd,eR.pR,402712,100000,3084397483,100.0,617,"DST=15816,15817;REC=15816",3.24212429e-05,2.4648e-08,3084397480.0,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3704
100.00%,33598600,33600000,e1e1h_e2e2,eL.pL,402127,100000,735727840,100.0,387,"DST=15212,15213;REC=15212",0.000135919826,1.03332e-07,735727840.0,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3479
100.00%,33598600,33600000,e1e1h_e2e2,eL.pR,402109,100000,25957945,100.0,387,"DST=15212,15213;REC=15212",0.00385238504,4.9704e-06,25957945.3,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3480
100.00%,33598600,33600000,e1e1h_e2e2,eR.pL,402118,100000,41181497,100.0,387,"DST=15212,15213;REC=15212",0.00242827497,3.1174e-06,41181497.7,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3481
100.00%,33598600,33600000,e1e1h_e2e2,eR.pR,402136,100000,735727840,100.0,387,"DST=15212,15213;REC=15212",0.000135919826,1.03332e-07,735727840.0,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3482
100.00%,33598600,33600000,e1e1h_e3e3,eL.pL,402126,500000,12790165,100.0,387,"DST=15212,15213;REC=15212",0.0390925371,2.97198e-05,12790165.0,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3483
100.00%,33598600,33600000,e1e1h_e3e3,eL.pR,402108,500000,451262,100.0,387,"DST=15212,15213;REC=15212",1.10800249,0.00142956,451262.524,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3484
100.00%,33598600,33600000,e1e1h_e3e3,eR.pL,402117,499400,715055,99.9,387,"DST=15212,15213;REC=15212",0.698407525,0.00089661,715914.394,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3485
100.00%,33598600,33600000,e1e1h_e3e3,eR.pR,402135,500000,12790165,100.0,387,"DST=15212,15213;REC=15212",0.0390925371,2.97198e-05,12790165.0,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3486
100.00%,33598600,33600000,e1e1h_gg,eL.pL,402121,100000,1958347,100.0,387,"DST=15212,15213;REC=15212",0.0510634575,3.88206e-05,1958347.61,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3487
100.00%,33598600,33600000,e1e1h_gg,eL.pR,402103,99800,68956,99.8,387,"DST=15212,15213;REC=15212",1.44729511,0.00186732,69094.4088,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3488
100.00%,33598600,33600000,e1e1h_gg,eR.pL,402112,100000,109616,100.0,387,"DST=15212,15213;REC=15212",0.912273944,0.00117117,109616.197,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3489
100.00%,33598600,33600000,e1e1h_gg,eR.pR,402130,100000,1958347,100.0,387,"DST=15212,15213;REC=15212",0.0510634575,3.88206e-05,1958347.61,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3490
100.00%,33598600,33600000,e1e1h_ss,eL.pL,402707,100000,651986461,100.0,617,"DST=15816,15817;REC=15816",0.000153377418,1.16604e-07,651986461.0,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3699
100.00%,33598600,33600000,e1e1h_ss,eL.pR,402701,100000,23003382,100.0,617,"DST=15816,15817;REC=15816",0.00434718679,5.6088e-06,23003382.4,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3713
100.00%,33598600,33600000,e1e1h_ss,eR.pL,402704,100000,36494172,100.0,617,"DST=15816,15817;REC=15816",0.0027401635,3.5178e-06,36494172.7,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3723
100.00%,33598600,33600000,e1e1h_ss,eR.pR,402710,100000,651986461,100.0,617,"DST=15816,15817;REC=15816",0.000153377418,1.16604e-07,651986461.0,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3714
100.00%,33598600,33600000,e1e1h_uu,eL.pL,402708,100000,13365722435,100.0,617,"DST=15816,15817;REC=15816",7.48182528e-06,5.688e-09,13365722400.0,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3702
