process_type,pol,process_id,xsect_pb,xsect_error_pb,nGenerated,nSelected,weight
qqh_dd,eL.pR,402739,0.017837572,2.2724e-05,5200,215,0.0008575755769230769
qqh_e2e2,eL.pR,402217,0.0747805901,9.5266e-05,10000,8159,0.0018695147524999999
qqh_e3e3,eL.pR,402216,21.5079954,0.0273999,11600,911,0.46353438362068966
qqh_gg,eL.pR,402211,28.0941758,0.0357903,5200,309,1.3506815288461538
qqh_ss,eL.pR,402737,0.0843854366,0.000107502,5200,214,0.004056992144230769
qqh_uu,eL.pR,402738,0.00411636276,5.244e-06,5200,207,0.00019790205576923075
qqh_ww,eL.pR,402212,73.4084692,0.093518,8400,808,2.184775869047619
qqh_zz,eL.pR,402213,8.98739203,0.0114494,8400,858,0.26748190565476193
2f_z_eehiq,eL.pR,500002,193112.24,113.0,43200,2,1117.5476851851852
2f_z_h,eL.pR,500010,127965.53,29.6,15200,101,2104.6962171052633
2f_z_l,eL.pR,500006,21214.001,12.2,46000,20989,115.29348369565217
4f_sw_l,eL.pR,500118,3421.9693,1.33,43200,99,19.803063078703705
4f_sw_sl,eL.pR,500106,10264.016,5.55,16800,145,152.73833333333334
4f_sze_l,eL.pR,500114,5774.7395,5.52,35400,7170,40.78205861581921
4f_sze_sl,eL.pR,500102,1423.3098,1.48,18400,159,19.338448369565217
4f_szeorsw_l,eL.pR,500126,984.31247,0.981,43200,1,5.696252719907407
4f_sznu_l,eL.pR,500122,195.12634,0.117,34000,13009,1.4347524999999999
4f_sznu_sl,eL.pR,500110,453.86976,0.261,16800,336,6.754014285714286
4f_ww_h,eL.pR,500066,14866.42,9.33,10200,263,364.3730392156863
4f_ww_l,eL.pR,500094,1563.418,1.17,33000,5793,11.844075757575757
4f_ww_sl,eL.pR,500082,18779.145,9.82,16800,1157,279.4515625
4f_zz_h,eL.pR,500062,1405.06,0.839,9400,586,37.3686170212766
4f_zz_l,eL.pR,500086,88.95738,0.0572,24000,8439,0.926639375
4f_zz_sl,eL.pR,500074,838.07949,0.443,15600,6035,13.430761057692308
4f_zznu_l,eL.pR,500090,73.39921,0.0393,33000,14326,0.5560546212121211
4f_zznu_sl,eL.pR,500078,609.87886,0.389,16800,330,9.075578273809523
4f_zzorww_h,eL.pR,500070,12389.292,7.96,8200,241,377.72231707317076
4f_zzorww_l,eL.pR,500098,1637.0568,0.91,46000,23104,8.897047826086958
6f_eexxxx,eL.pR,402309,0.01353109,8.87e-05,2000,58,0.00169138625
6f_eexyyx,eL.pR,402303,0.71215521,0.00407,2000,52,0.08901940125
6f_eeyyyy,eL.pR,402315,0.015709496,0.000103,2000,107,0.001963687
6f_llxxxx,eL.pR,402307,0.026534329,8.48e-05,2000,802,0.003316791125
6f_llxyyx,eL.pR,402301,1.1851486,0.00287,2000,759,0.148143575
6f_llyyyy,eL.pR,402313,0.03633422,0.000141,2000,760,0.0045417775
6f_vvxxxx,eL.pR,402311,0.01894877,7.31e-05,2000,56,0.00236859625
6f_vvxyyx,eL.pR,402305,0.076579776,0.000321,2000,60,0.009572472
6f_vvyyyy,eL.pR,402317,0.011789115,5.11e-05,2000,91,0.001473639375
2f-lcfi_z_bb,eL.pR,500318,7951.4427,3.15,10000,770,198.78606749999997
2f-lcfi_z_cc,eL.pR,500314,10759.111,4.47,10000,358,268.977775
2f-lcfi_z_dd,eL.pR,500302,7951.4427,3.15,10000,146,198.78606749999997
2f-lcfi_z_ss,eL.pR,500310,7951.4427,3.15,10000,109,198.78606749999997
2f-lcfi_z_uu,eL.pR,500306,10759.111,4.47,10000,136,268.977775
4f-lcfi_zz_bbbb,eL.pR,500338,70.723198,0.0608,5600,862,3.1572856249999997
4f-lcfi_zz_cccc,eL.pR,500334,56.504134,0.05,2442,165,5.784616502866503
4f-lcfi_zz_dddd,eL.pR,500322,70.800256,0.0623,6400,150,2.7656350000000005
4f-lcfi_zz_ssss,eL.pR,500330,70.800256,0.0623,6400,122,2.7656350000000005
4f-lcfi_zz_uuuu,eL.pR,500326,56.476488,0.0489,6400,138,2.2061128125000002
n23n23h_bb,eL.pR,410001,39.0584431,0.0368988,9400,580,1.0387883803191489
n23n23h_cc,eL.pR,410002,1.93950001,0.00183226,10200,258,0.047536764950980394
n23n23h_dd,eL.pR,410005,0.0034897578,3.2968e-06,10600,94,8.230560849056603e-05
n23n23h_gg,eL.pR,410006,5.49636854,0.00519246,7400,141,0.18568812635135135
n23n23h_ss,eL.pR,410003,0.0165092388,1.55964e-05,10800,95,0.00038215830555555553
n23n23h_uu,eL.pR,410004,0.000805328724,7.608e-07,10600,80,1.8993601981132076e-05
signal,eL.pR,signal,0.011646360000000001,0.058664329819810936,2388,2315,0.0012192587939698495
