process_type,pol,process_id,NbEvents,int.lumi(1/fb),xsect_pb,xsect_error_pb,implied_xsec_fb,xsect_pb_in_fb,diff_if_xsect_pb_used,diff_if_xsect_pb_in_fb,unit_check,nGenerated,nSelected,weight,process_group
e3e3h_az,eL.pR,402161,100000.0,3858127.0,0.0259193108,3.1518e-05,0.025919312661299123,25.9193108,1.8612991217747954e-09,25.893391487338704,xsect_pb seems to be in fb,10000.0,877.0,0.00064798277,Exclusive Higgs
e3e3h_bb,eL.pR,402155,100000.0,10142.0,9.85950253,0.0119892,9.859988168014198,9859.50253,0.00048563801419732044,9849.642541831985,xsect_pb seems to be in fb,10000.0,1428.0,0.24648756324999999,Exclusive Higgs
e3e3h_cc,eL.pR,402156,100000.0,204253.0,0.489586981,0.00059534,0.4895888922072136,489.586981,1.9112072136007185e-06,489.09739210779276,xsect_pb seems to be in fb,10000.0,1027.0,0.012239674524999999,Exclusive Higgs
e3e3h_dd,eL.pR,402721,100000.0,113517975.0,0.000880917752,1.0712e-06,0.000880917757738367,0.880917752,5.738367029814451e-12,0.8800368342422616,xsect_pb seems to be in fb,10000.0,615.0,2.20229438e-05,Exclusive Higgs
e3e3h_e2e2,eL.pR,402163,100000.0,27077682.0,0.00369307827,4.4908e-06,0.003693078307072223,3.69307827,3.7072222895673246e-11,3.689385191692928,xsect_pb seems to be in fb,10000.0,6909.0,9.232695675e-05,Exclusive Higgs
e3e3h_e3e3,eL.pR,402162,500000.0,470728.0,1.06218352,0.00129162,1.0621845311942353,1062.18352,1.011194235234214e-06,1061.121335468806,xsect_pb seems to be in fb,25200.0,2899.0,0.010537534920634922,Exclusive Higgs
e3e3h_gg,eL.pR,402157,100000.0,72074.0,1.38744546,0.00168714,1.3874628853678164,1387.44546,1.7425367816459314e-05,1386.0579971146321,xsect_pb seems to be in fb,10000.0,780.0,0.0346861365,Exclusive Higgs
e3e3h_ss,eL.pR,402719,100000.0,23995669.0,0.0041674186,5.0676e-06,0.004167418712101754,4.1674186,1.121017540947622e-10,4.163251181287898,xsect_pb seems to be in fb,10000.0,592.0,0.000104185465,Exclusive Higgs
e3e3h_uu,eL.pR,402720,100000.0,491911228.0,0.000203288712,2.472e-07,0.00020328871208444952,0.203288712,8.444951010190549e-14,0.20308542328791557,xsect_pb seems to be in fb,10000.0,622.0,5.0822178000000004e-06,Exclusive Higgs
e3e3h_ww,eL.pR,402158,500000.0,137919.0,3.62531536,0.0044084,3.625316308847947,3625.31536,9.488479468799937e-07,3621.690043691152,xsect_pb seems to be in fb,12800.0,1713.0,0.070806940625,Exclusive Higgs
e3e3h_zz,eL.pR,402159,500000.0,1126514.0,0.443847021,0.00053972,0.44384712484709465,443.847021,1.0384709464572595e-07,443.4031738751529,xsect_pb seems to be in fb,12800.0,1547.0,0.00866888712890625,Exclusive Higgs
n1n1h_aa,eL.pR,402178,100000.0,729945.0,0.136996525,0.00014074,0.13699662303324223,136.99652500000002,9.803324221846488e-08,136.85952837696678,xsect_pb seems to be in fb,,,,Exclusive Higgs
n1n1h_az,eL.pR,402179,100000.0,1082991.0,0.0923368648,9.486e-05,0.09233687075885211,92.3368648,5.9588521061915145e-09,92.24452792924114,xsect_pb seems to be in fb,9600.0,484.0,0.002404605854166667,Exclusive Higgs
n1n1h_bb,eL.pR,402173,100000.0,2847.0,35.1242191,0.036084,35.12469265893923,35124.219099999995,0.0004735589392339534,35089.09440734106,xsect_pb seems to be in fb,10000.0,669.0,0.8781054774999999,Exclusive Higgs
n1n1h_cc,eL.pR,402174,100000.0,57334.0,1.74414078,0.0017918,1.7441657655143545,1744.14078,2.4985514354591842e-05,1742.3966142344857,xsect_pb seems to be in fb,10000.0,280.0,0.0436035195,Exclusive Higgs
n1n1h_dd,eL.pR,402727,100000.0,31864929.0,0.00313824638,3.224e-06,0.0031382464401536873,3.13824638,6.015368715292513e-11,3.1351081335598465,xsect_pb seems to be in fb,10000.0,87.0,7.84561595e-05,Exclusive Higgs
n1n1h_e2e2,eL.pR,402181,100000.0,7600808.0,0.0131564945,1.3516e-05,0.013156495993583841,13.156494499999999,1.4935838416746394e-09,13.143338004006415,xsect_pb seems to be in fb,10000.0,9801.0,0.00032891236249999996,Exclusive Higgs
n1n1h_e3e3,eL.pR,402180,500000.0,132135.0,3.78400093,0.0038874,3.784008778900367,3784.00093,7.84890036698016e-06,3780.2169212210997,xsect_pb seems to be in fb,26000.0,771.0,0.036384624326923076,Exclusive Higgs
n1n1h_gg,eL.pR,402175,100000.0,20231.0,4.94273805,0.0050778,4.942909396470763,4942.73805,0.00017134647076311182,4937.795140603529,xsect_pb seems to be in fb,10000.0,168.0,0.12356845125,Exclusive Higgs
n1n1h_ss,eL.pR,402725,100000.0,6735676.0,0.0148463194,1.5252e-05,0.014846319805168776,14.8463194,4.0516877526652895e-10,14.831473080194831,xsect_pb seems to be in fb,10000.0,88.0,0.000371157985,Exclusive Higgs
n1n1h_uu,eL.pR,402726,100000.0,138081361.0,0.000724210704,7.44e-07,0.0007242107064689201,0.724210704,2.4689201421138063e-12,0.7234864932935311,xsect_pb seems to be in fb,10000.0,81.0,1.81052676e-05,Exclusive Higgs
n1n1h_ww,eL.pR,402176,500000.0,38714.0,12.9150909,0.013268,12.915224466601229,12915.0909,0.00013356660122987307,12902.175675533397,xsect_pb seems to be in fb,12800.0,553.0,0.25224786914062497,Exclusive Higgs
n1n1h_zz,eL.pR,402177,500000.0,316216.0,1.58119337,0.0016244,1.581197662357376,1581.19337,4.292357375978995e-06,1579.6121723376425,xsect_pb seems to be in fb,12800.0,1027.0,0.030882683007812498,Exclusive Higgs
n23n23h_aa,eL.pR,402196,100000.0,656420.0,0.15234135,0.000143918,0.1523414886810274,152.34134999999998,1.386810274117689e-07,152.18900851131895,xsect_pb seems to be in fb,9600.0,2.0,0.003967222656249999,Exclusive Higgs
n23n23h_az,eL.pR,402197,100000.0,973905.0,0.102679412,9.7002e-05,0.10267941945056243,102.679412,7.450562430899588e-09,102.57673258054943,xsect_pb seems to be in fb,9600.0,461.0,0.002673943020833333,Exclusive Higgs
n23n23h_bb,eL.pR,402191,100000.0,2560.0,39.0584431,0.0368988,39.0625,39058.4431,0.004056900000001917,39019.3806,xsect_pb seems to be in fb,10000.0,625.0,0.9764610774999999,Exclusive Higgs
n23n23h_cc,eL.pR,402192,100000.0,51559.0,1.93950001,0.00183226,1.939525592040187,1939.50001,2.5582040187099864e-05,1937.5604844079598,xsect_pb seems to be in fb,10000.0,280.0,0.04848750025,Exclusive Higgs
n23n23h_dd,eL.pR,402733,100000.0,28655283.0,0.0034897578,3.2968e-06,0.003489757892113646,3.4897578,9.211364613778694e-11,3.4862680421078864,xsect_pb seems to be in fb,10000.0,93.0,8.7243945e-05,Exclusive Higgs
n23n23h_e2e2,eL.pR,402199,100000.0,6835205.0,0.0146301385,1.38212e-05,0.014630139110677735,14.630138500000001,6.106777340753045e-10,14.615508360889324,xsect_pb seems to be in fb,10000.0,9815.0,0.0003657534625,Exclusive Higgs
n23n23h_e3e3,eL.pR,402198,500000.0,118825.0,4.20784258,0.00397518,4.207868714496108,4207.84258,2.613449610766594e-05,4203.634711285505,xsect_pb seems to be in fb,26000.0,748.0,0.04046002480769231,Exclusive Higgs
n23n23h_gg,eL.pR,402193,100000.0,18193.0,5.49636854,0.00519246,5.49661957895894,5496.3685399999995,0.0002510389589405193,5490.87192042104,xsect_pb seems to be in fb,10000.0,187.0,0.1374092135,Exclusive Higgs
n23n23h_ss,eL.pR,402731,100000.0,6057214.0,0.0165092388,1.55964e-05,0.01650924005656726,16.5092388,1.256567259966257e-09,16.49272955994343,xsect_pb seems to be in fb,10000.0,80.0,0.00041273096999999996,Exclusive Higgs
n23n23h_uu,eL.pR,402732,100000.0,124172896.0,0.000805328724,7.608e-07,0.0008053287248772872,0.805328724,8.772871751966393e-13,0.8045233952751227,xsect_pb seems to be in fb,10000.0,88.0,2.01332181e-05,Exclusive Higgs
n23n23h_ww,eL.pR,402194,500000.0,34814.0,14.3616956,0.0135676,14.362038260469927,14361.6956,0.00034266046992748045,14347.33356173953,xsect_pb seems to be in fb,11600.0,510.0,0.3095193017241379,Exclusive Higgs
n23n23h_zz,eL.pR,402195,500000.0,284365.0,1.75830105,0.00166108,1.7583035886976246,1758.30105,2.5386976245656e-06,1756.5427464113025,xsect_pb seems to be in fb,12800.0,1044.0,0.0343418173828125,Exclusive Higgs
qqh_aa,eL.pR,402214,100000.0,128422.0,0.778678622,0.00099199,0.7786827802089985,778.678622,4.158208998461532e-06,777.899939219791,xsect_pb seems to be in fb,10000.0,196.0,0.01946696555,Exclusive Higgs
qqh_az,eL.pR,402215,100000.0,190535.0,0.524836252,0.00066861,0.5248379562809983,524.836252,1.704280998326979e-06,524.311414043719,xsect_pb seems to be in fb,10000.0,733.0,0.013120906299999999,Exclusive Higgs
qqh_bb,eL.pR,402209,100000.0,500.0,199.643594,0.254334,200.0,199643.594,0.3564059999999927,199443.594,xsect_pb seems to be in fb,5200.0,582.0,9.598249711538463,Exclusive Higgs
qqh_cc,eL.pR,402210,100000.0,10087.0,9.91357365,0.0126293,9.913750371765639,9913.57365,0.00017672176563898745,9903.659899628236,xsect_pb seems to be in fb,4800.0,309.0,0.5163319609375,Exclusive Higgs
qqh_dd,eL.pR,402739,100000.0,5606144.0,0.017837572,2.2724e-05,0.017837572491894608,17.837571999999998,4.91894608378729e-10,17.819734427508102,xsect_pb seems to be in fb,5200.0,215.0,0.0008575755769230769,Exclusive Higgs
qqh_e2e2,eL.pR,402217,100000.0,1337245.0,0.0747805901,9.5266e-05,0.07478061237843477,74.7805901,2.2278434763656207e-08,74.70580948762156,xsect_pb seems to be in fb,10000.0,8159.0,0.0018695147524999999,Exclusive Higgs
qqh_e3e3,eL.pR,402216,500000.0,23247.0,21.5079954,0.0273999,21.508151589452403,21507.9954,0.00015618945240447601,21486.487248410547,xsect_pb seems to be in fb,11600.0,911.0,0.46353438362068966,Exclusive Higgs
qqh_gg,eL.pR,402211,100000.0,3559.0,28.0941758,0.0357903,28.097780275358247,28094.175799999997,0.0036044753582480382,28066.07801972464,xsect_pb seems to be in fb,5200.0,309.0,1.3506815288461538,Exclusive Higgs
