nCharged,nChargedNonMuon,nTracks,nTracksNonMuon,totalCharge,sumPtChargedNonMuon,nRecoTracks,visibleEnergy,visiblePx,visiblePy,visiblePz,visiblePt,invMass,recoilMass,totalEnergy,mu1_E,mu1_px,mu1_py,mu1_pz,mu1_pt,mu1_charge,mu2_E,mu2_px,mu2_py,mu2_pz,mu2_pt,mu2_charge,dimuon_px,dimuon_py,dimuon_pz,dimuon_pt,missingEnergy,missingPx,missingPy,missingPz,met,process_id,weight,process_type,process_group
2.0,0.0,2.0,0.0,0.0,0.0,2.0,109.18439,-29.167406,5.9306426,57.309845,29.764242,87.25931,126.517006,108.21527,55.346188,-35.357384,-35.06901,24.14956,49.7994,1.0,52.86908,6.5116615,41.05346,32.670048,41.566673,-1.0,-28.845722,5.9844475,56.81961,29.45996,140.81561,29.167406,-5.9306426,-57.309845,29.764242,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,104.13603,-9.148466,-45.01675,-25.684221,45.936935,89.85785,136.03828,104.13603,68.18056,18.522963,-44.06065,-48.62229,47.795826,1.0,35.95548,-27.671429,-0.956101,22.93807,27.68794,-1.0,-9.148466,-45.01675,-25.684221,45.936935,145.86397,9.148466,45.01675,25.684221,45.936935,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,104.87062,2.0585413,-59.954292,13.026363,59.98962,85.02592,131.50702,104.87062,71.10549,-10.326363,-54.874374,44.02432,55.83754,-1.0,33.765133,12.384904,-5.0799184,-30.997955,13.38624,1.0,2.0585413,-59.954292,13.026363,59.98962,145.12938,-2.0585413,59.954292,-13.026363,59.98962,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,110.09683,-27.631172,-53.535095,10.456896,60.24523,91.55587,125.833466,110.09683,53.648087,-43.08272,-15.28734,-28.076212,45.71459,1.0,56.448746,15.451549,-38.247753,38.533108,41.25095,-1.0,-27.631172,-53.535095,10.456896,60.24523,139.90317,27.631172,53.535095,-10.456896,60.24523,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,95.76023,6.2360964,-16.910305,-21.477999,18.02352,89.98049,153.2107,94.24594,52.11167,-15.241515,-49.77364,-2.4265094,52.054962,-1.0,42.13427,20.58466,31.814041,-18.42324,37.89276,1.0,5.3431444,-17.959599,-20.84975,18.737566,154.23978,-6.2360964,16.910305,21.477999,18.02352,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,108.58575,11.9171505,-52.845505,-11.739713,54.172558,93.07448,130.69229,108.164764,62.11466,-33.00561,-52.563545,-2.4320004,62.06687,1.0,46.05011,45.112377,0.086440116,-9.244394,45.11246,-1.0,12.106766,-52.477104,-11.676394,53.85555,141.41425,-11.9171505,52.845505,11.739713,54.172558,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,114.7475,-25.772188,-20.38444,46.05511,32.85926,91.332466,138.79393,103.15573,61.854385,-54.056377,6.400789,29.374878,54.434017,1.0,41.301346,30.268066,-27.306213,6.632975,40.765,-1.0,-23.788311,-20.905424,36.007854,31.66892,135.2525,25.772188,20.38444,-46.05511,32.85926,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,108.99199,-46.22371,5.9824924,-35.553734,46.609245,90.480934,129.19948,107.98859,68.4362,-35.613075,-30.161362,-50.054916,46.669037,-1.0,39.552387,-10.437007,35.619507,13.663504,37.11712,1.0,-46.050083,5.458145,-36.39141,46.37242,141.00801,46.22371,-5.9824924,35.553734,46.609245,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,103.008865,28.996342,31.49619,-22.74577,42.811188,90.88816,138.76682,103.008865,66.817825,15.591468,63.66328,-12.980573,65.54469,-1.0,36.191036,13.404875,-32.16709,-9.765197,34.84842,1.0,28.996342,31.49619,-22.74577,42.811188,146.99113,-28.996342,-31.49619,22.74577,42.811188,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,111.23214,-32.78809,-49.06791,6.01355,59.01456,94.09414,125.449745,111.23214,61.022526,-3.595781,-49.978664,-34.827183,50.10785,1.0,50.209614,-29.19231,0.9107568,40.840733,29.206514,-1.0,-32.78809,-49.06791,6.01355,59.01456,138.76785,32.78809,49.06791,-6.01355,59.01456,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,110.056564,47.3954,6.758278,42.361984,47.87482,89.587456,124.48948,110.056564,68.047905,56.677975,35.33967,13.008181,66.792854,-1.0,42.00866,-9.282576,-28.58139,29.353802,30.050991,1.0,47.3954,6.758278,42.361984,47.87482,139.94344,-47.3954,-6.758278,-42.361984,47.87482,signal,0.0012192587939698495,signal,Signal
9.0,7.0,9.0,7.0,-1.0,1.07333446e+09,9.0,135.4648,55.99402,4.465253,-36.917538,56.171776,89.237305,133.46017,105.30336,73.07803,62.09181,-16.758434,-34.700752,64.31359,-1.0,32.225327,-20.302841,24.979,-1.5153434,32.189373,1.0,41.788967,8.220566,-36.216095,42.58985,114.5352,-55.99402,-4.465253,36.917538,56.171776,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,104.07225,-38.059483,-12.6076145,-22.75987,40.09334,89.55964,143.66101,99.764885,50.768593,-46.807262,11.373571,16.035982,48.169262,1.0,48.996292,12.695973,-25.031883,-40.160103,28.06747,-1.0,-34.11129,-13.658312,-24.12412,36.74411,145.92775,38.059483,12.6076145,22.75987,40.09334,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,109.12654,-26.359417,50.54371,-5.905944,57.004257,92.46463,128.97136,108.83219,74.595634,-1.791151,74.53852,-2.3000717,74.560036,1.0,34.236557,-24.365494,-23.783699,-3.575,34.049107,-1.0,-26.156645,50.75482,-5.8750715,57.098354,140.87346,26.359417,-50.54371,5.905944,57.004257,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,105.51003,-52.645657,28.20772,27.972023,59.726383,82.3571,128.56001,105.51003,61.759693,-61.609905,0.05662052,-4.296077,61.609932,-1.0,43.75034,8.964248,28.1511,32.2681,29.543903,1.0,-52.645657,28.20772,27.972023,59.726383,144.48996,52.645657,-28.20772,-27.972023,59.726383,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,109.44439,-16.01696,-40.161526,38.558563,43.237614,92.85376,128.06102,109.44439,79.12645,-40.658195,-57.620644,35.885212,70.52111,-1.0,30.31794,24.641235,17.459118,2.6733518,30.199524,1.0,-16.01696,-40.161526,38.558563,43.237614,140.5556,16.01696,40.161526,-38.558563,43.237614,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,114.77004,36.259758,7.544518,-54.167885,37.03633,92.55589,121.41206,112.651405,51.154934,50.6109,1.9628145,7.1757646,50.64895,1.0,61.49647,-14.245467,5.5812497,-59.56268,15.299793,-1.0,36.365433,7.544064,-52.386913,37.139706,135.22995,-36.259758,-7.544518,54.167885,37.03633,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,99.90798,52.29732,46.198368,-19.190891,69.780365,67.92855,133.27592,98.703636,60.793533,58.42076,9.302924,-14.010872,59.156822,1.0,37.910103,-6.974983,37.00952,-4.336034,37.661057,-1.0,51.445778,46.312447,-18.346905,69.22074,150.09201,-52.29732,-46.198368,19.190891,69.780365,signal,0.0012192587939698495,signal,Signal
