ProducedRate,n_prod,n_gen,process_type,pol,processID,NbEvents,int.lumi(1/fb),Done %,ElogID(s),ProdIDs of DST and REC files
100.00%,33598600,33600000,e1e1h_gg,eR.pR,402130,100000,1958347,100.0,387,"DST=15212,15213;REC=15212"
100.00%,33598600,33600000,e1e1h_ss,eL.pL,402707,100000,651986461,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,e1e1h_ss,eL.pR,402701,100000,23003382,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,e1e1h_ss,eR.pL,402704,100000,36494172,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,e1e1h_ss,eR.pR,402710,100000,651986461,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,e1e1h_uu,eL.pL,402708,100000,13365722435,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,e1e1h_uu,eL.pR,402702,100000,471569339,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,e1e1h_uu,eR.pL,402705,100000,748130541,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,e1e1h_uu,eR.pR,402711,100000,13365722435,100.0,617,"DST=15816,15817;REC=15816"
100.00%,33598600,33600000,e1e1h_ww,eL.pL,402122,500000,3747398,100.0,387,"DST=15212,15213;REC=15212"
100.00%,33598600,33600000,e1e1h_ww,eL.pR,402104,500000,132215,100.0,387,"DST=15212,15213;REC=15212"
100.00%,33598600,33600000,e1e1h_ww,eR.pL,402113,500000,209756,100.0,387,"DST=15212,15213;REC=15212"
100.00%,33598600,33600000,e1e1h_ww,eR.pR,402131,500000,3747398,100.0,387,"DST=15212,15213;REC=15212"
100.00%,33598600,33600000,e1e1h_zz,eL.pL,402123,500000,30608524,100.0,387,"DST=15212,15213;REC=15212"
100.00%,33598600,33600000,e1e1h_zz,eL.pR,402105,500000,1079929,100.0,387,"DST=15212,15213;REC=15212"
100.00%,33598600,33600000,e1e1h_zz,eR.pL,402114,500000,1713276,100.0,387,"DST=15212,15213;REC=15212"
100.00%,33598600,33600000,e1e1h_zz,eR.pR,402132,500000,30608524,100.0,387,"DST=15212,15213;REC=15212"
